tournament_name,year,venue_name,venue_address,venue_city,venue_country,court_surface,num_courts,indoor_outdoor
,2026,Palavillage,"c. so Primo Levi 150, 10098 Rivoli (TO)",Rivoli,Torino - Italy,,,
,2026,Beit El Wadi,sherif.michel94@gmail.com,Wadi El Natrun- Egypt,Wadi El Natrun- Egypt,,,
,2026,Beit El Wadi,sherif.michel94@gmail.com,Wadi El Natrun - Egypt,Wadi El Natrun - Egypt,,,
,2026,PADEL RUSH ARENA,"QJC3+73R, Hittin, Riyadh 13516,Saudi Arabia Male",Riyadh - Saudi Arabia,Riyadh - Saudi Arabia,,,
,2026,New Giza Sports Club,,Giza - Egypt,Giza - Egypt,,,
,2026,Aveiro Padel Indoor,"Rua Das Velas n20, 3800-275 Aveiro (Portugal)",Aveiro - Portugal,Aveiro - Portugal,,,
,2026,Balwin Padel Waterfall City,"48 Queens Road, Bryanston 2021",Johannesburg - South Africa,Johannesburg - South Africa,,,
,2026,Padel Indoor La Porciúncula,info2@fpadelib.es,Palma de Mallorca - SPAIN,Palma de Mallorca - SPAIN,,,
,2026,Padel Center Las Naves,,ARRECIFE - SPAIN,ARRECIFE - SPAIN,,,
,2026,NAS Sports Complex,"Street Wadi Al Safa 3, Hadaeq Mohammed Bin Rashid, Dubái Male",Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,: RTCA – AGADIRNumber of Match Courts: 3Number of,"Boulevard du 20 Août, BP 808, Boulevard du 20 Aout, Agadir 80000 Morocco",Morocco,Agadir - Morocco,,,
,2026,7 Pala Village,"Via Necropoli Grotticelle, 33 – 96100 Siracusa (SR9)",Siracusa,SIRACUSA - Italy,,,
,2026,information:Number of Match Courts: 4Number of,"via Unità d'Italia 94 G, Agrigento Male",Agrigento - Italy,Agrigento - Italy,,,
,2026,: 20kmNearest Train Station Name: Kaitaa Metro stationDistance to the venue: mAirport pick up: NODaily Ho – Club service: NO,"MARSBYNTIE 10, 02270 ESPOO Male",ESPOO Male,Espoo - Finland,,,
,2026,Hotel Name,"Tynnyritie 1, 02230 Espoo (Finland)",Espoo,Espoo - Finland,,,
,2026,PADEL CLUBE IDEALKORPUS,RUA CENTRAL DE MOURIZ – 4580-590 PAREDES,Paredes - Portugal,Paredes - Portugal,,9.0,Indoor
,2026,Woodlands Padel,"10011 Farm, 2920 Tomball, TX 77375",Farm,"Woodlands, TX- USA",,,
,2026,Golden Point,"Westendelaan 94, 8434 Middelkerke",Middelkerke,MIDDELKERKE - Belgium,,,
,2026,BR Padel,,Curitiba - Brazil,Curitiba - Brazil,,,
,2026,ELITE PADEL CLUB (MEN),"R. Antônio Gonçalves do Amaral, 1547 – São José, Santa Maria Post navigationPreviousPrevious EventFIP GOLD PONTA DELGADANextNext EventFIP BRONZE BURRIANA Official Automotive Partner",Santa Maria - Brazil,Santa Maria - Brazil,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,Player 1,,Gijón - Spain,Gijón - Spain,,,
,2026,Player 1,,Ponta Delgada - Portugal,Ponta Delgada - Portugal,,,
,2026,Role,yolandamallen78@gmail.com,Burriana - Spain,Burriana - Spain,,,
,2026,Pop Padel,"8A Lengkok Bahru, Singapore 159787 Male",Singapore - Singapore,Singapore - Singapore,,,
,2026,"Website: www.sportclubhouten.nlCourt conditions: IndoorOutside game: YESPRIZE MONEYPayment method: Bank TransferContact e-mail / Number: FIPtoernooien@hotmail.com / k:+Transportation ServicesNearest Airport Name: Schiphol Airport AmsterdamDistance to the venue: 59 km (45-60 minutes)Nearest Train Station Name: Trainstation HoutenDistance to the venue: m walking (10 minutes)Airport pick up: NODaily Ho – Club service: yes, on scheduled timesTransportation Service Contact / Nº: via player’s desk, +","Pelmolen 7, 3994 XX Houten Male",XX Houten Male,Houten - Netherlands,,,
,2026,Club del Bosque,"Dublé Almeyda 80, Viña del Mar",Viña del Mar - Chile,Viña del Mar - Chile,,,
,2026,Lyttos Sports Center,"Anissaras, Hersonissos 70014, Crete",Heraklion - Greece,Heraklion - Greece,,,
,2026,Rua Central de Cedões s/n,Rua das Industrias 1755 4785-628 Trofa,Trofa - Portugal,Trofa - Portugal,,,
,2026,,,Santa maria - United States,Santa maria - United States,,,
,2026,Role,,Dubai - UAE,Dubai - UAE,,,
,2026,Level Padel,"Rua Santos Dumont 2400, Zona Industrial Norte Post navigationPreviousPrevious EventFIP BRONZE GAÚCHONextNext EventFIP SILVER JOINVILLE Official Automotive Partner",Joinville - Brazil,Joinville - Brazil,,,
,2026,Levell Padel,"Rua Santos Dumont 2400, Zona Industrial Norte Post navigationPreviousPrevious EventFIP BRONZE GAÚCHONextNext EventFIP SILVER WOMEN’S PADEL MANILA Official Automotive Partner",Joinville - Brazil,Joinville - Brazil,,,
,2026,Manila Padel Club,"9th Avenue corner Lane R, Bonifacio Global City, Metro Manila 1630 Post navigationPreviousPrevious EventFIP SILVER JOINVILLENextNext EventFIP BRONZE SWEDEN I Official Automotive Partner",Post navigationPreviousPrevious EventFIP SILVER JOINVILLENextNext EventFIP BRONZE SWEDEN I Official Automotive Partner,Manila - Philippines,,,
,2026,: 60 kmNearest Train Station Name: Siracusa Trani StationDistance to the venue: 5 kmAirport pick up: NODaily Ho – Club service: YESTransportation Service Contact / Nº: +39,francescoguglielmino2001@gmail.com,Siracusa - Italy,Siracusa - Italy,,,
,2026,Club Mercede,"Via Tuscoalna, 20",Frascati - Italy,Frascati - Italy,,2.0,
,2026,Role,,Joinville - Brazil,Joinville - Brazil,,,
,2026,,,Torino - Italy,Torino - Italy,,,
,2026,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2026,,,Helsingborg - Sweden,Helsingborg - Sweden,,,
,2026,Tennis Space,"Islandijos 9, Kaunas Post navigationPreviousPrevious EventFIP BRONZE HONG KONG INextNext EventFIP SILVER MEDIOLANUM Official Automotive Partner",Kaunas - Lithuania,Kaunas - Lithuania,,,Indoor
,2026,,,CancÚn - Mexico,CancÚn - Mexico,,,
,2026,:Number of Match Courts: 7Number of,"10 Gigiri Drive, Nairobi Post navigationPreviousPrevious EventFIP SILVER MEDIOLANUMNextNext EventFIP BRONZE SWEDEN I Official Automotive Partner",Nairobi - Kenya,Nairobi - Kenya,,,
,2026,,,Tbc - Italy,Tbc - Italy,,,
,2026,Padel7Malgrat,padel7esportiu@gmail.com,Malgrat de Mar - Spain,Malgrat de Mar - Spain,,,
,2026,,,Hong kong - Hong Kong,Hong kong - Hong Kong,,,
,2026,,,Miami - United States,Miami - United States,,,
,2026,: Kalat Country C/ubNumber of Match Courts: 4Number of,"Caltanissetta, Contrada Pian del Lago snc Post navigationPreviousPrevious EventFIP SILVER MEDIOLANUMNextNext EventFIP SILVER VISEU Official Automotive Partner",Caltanisetta - Italy,Caltanisetta - Italy,,,
,2026,,,Viseu - Portugal,Viseu - Portugal,,,
,2026,,,Karachi - Pakistan,Karachi - Pakistan,,,
,2026,,,CapeTown - South Africa,CapeTown - South Africa,,,
,2026,,,Athens - Greece,Athens - Greece,,,
,2026,Europadel,"Av. Adolfo Diaz Ambrona, 11, 06006 Badajoz",Badajoz,Elvas - Portugal,,,
,2026,,,Mumbai - India,Mumbai - India,,,
,2026,: ADD PADEL ALMATYCourt conditions: IndoorOutside game: NoPayment method: On SiteContact e-mail: padelteam.almaty@gmail.comTransportation ServicesNearest Airport Name: Almaty International AirportDistance to the venue: 25 kmNearest Train Station Name: Almaty 2 railway stationDistance to the venue: 10 km Airport pick up: YESDaily Ho – Club service: YESTransportation Service Contact / Nº: +7 padelteam.almaty@gmail.com,,Almaty - Kazakhstan,Almaty - Kazakhstan,,,
,2026,,,Setubal - Portugal,Setubal - Portugal,,,
,2026,,,Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,
,2026,,,Houten - Netherlands,Houten - Netherlands,,,
,2026,Santo Stefano Padel,,Sandigliano - Italy,Sandigliano - Italy,,,
,2026,,,Miami - United States,Miami - United States,,,
,2026,,,Mumbai - India,Mumbai - India,,,
,2026,,,Florida - USA,Florida - USA,,,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Eidsvoll - Norway,Eidsvoll - Norway,,,
,2026,,,Rivesaltes - France,Rivesaltes - France,,,
,2026,,,Doha - Qatar,Doha - Qatar,,,
,2026,,,Aguascalientes - Mexico,Aguascalientes - Mexico,,,
,2026,,,Oeiras - Portugal,Oeiras - Portugal,,,
,2026,,,Aguascalientes - Mexico,Aguascalientes - Mexico,,,
,2026,,,Baku - Azerbaijan,Baku - Azerbaijan,,,
,2026,,,Stratford - Great Britain,Stratford - Great Britain,,,
,2026,Name,,Marino - Italy,Marino - Italy,,,
,2026,,,Doha - Qatar,Doha - Qatar,,,
,2026,,,Kuala lumpur - Malaysia,Kuala lumpur - Malaysia,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,: Pala Padel NolaNumber of Match Courts: 4Number of,"Via Croce del Papa 12/14 , Nola , 80035 Post navigationPreviousPrevious EventFIP SILVER DUBAINextNext EventFIP BRONZE IJUÍ Official Automotive Partner",Nola - Italy,Nola - Italy,,,
,2026,,,Ijuí - Brazil,Ijuí - Brazil,,,
,2026,,,Giza - Egypt,Giza - Egypt,,,
,2026,,,Sevilla - Spain,Sevilla - Spain,,,
,2026,,,Ijuí - Brazil,Ijuí - Brazil,,,
,2026,,,Chiswick - Great Britain,Chiswick - Great Britain,,,
,2026,,,Ayia Napia - Cyprus,Ayia Napia - Cyprus,,,
,2026,,,Villarrica - Chile,Villarrica - Chile,,,
,2026,,,Marrakech - Morocco,Marrakech - Morocco,,,
,2026,,,IjuÍ - Brazil,IjuÍ - Brazil,,,
,2026,,,USA,USA,,,
,2026,,,Saint Priest - France,Saint Priest - France,,,
,2026,,,Johannesburg - South Africa,Johannesburg - South Africa,,,
,2026,,,Setubal - Portugal,Setubal - Portugal,,,
,2026,,,Santiago - Chile,Santiago - Chile,,,
,2026,,,Isla de la palma - Spain,Isla de la palma - Spain,,,
,2026,,,Teheran - Iran,Teheran - Iran,,,
,2026,,,Brussels - Belgium,Brussels - Belgium,,,
,2026,,,Treviso - Italy,Treviso - Italy,,,
,2026,,,Kuala lumpur - Malaysia,Kuala lumpur - Malaysia,,,
,2026,,,Ayia Napia - Cyprus,Ayia Napia - Cyprus,,,
,2026,,,HERAKLION - Grecee,HERAKLION - Grecee,,,
,2026,,,Hamburg - Germany,Hamburg - Germany,,,
,2026,PadelPorecCenter,"Z5002 Glavna cesta Porec, Tar 52440 Porec, Croatia",Porec,POREC - Croatia,,2.0,Indoor
,2026,,,Ayia Napia - Cyprus,Ayia Napia - Cyprus,,,
,2026,,,Leiria - Portugal,Leiria - Portugal,,,
,2026,,,Islas canarias - Spain,Islas canarias - Spain,,,
,2026,,,Singapore - Singapore,Singapore - Singapore,,,
,2026,Colors Play District,Via Danubio 61 (Montesilvano Pe) Post navigationPreviousPrevious EventFIP BRONZE SINGAPORENextNext EventFIP SILVER CYPRUS Official Automotive Partner,Montesilvano - Italy,Montesilvano - Italy,,,
,2026,,,Teheran - Iran,Teheran - Iran,,,
,2026,,,Tbc - Iran,Tbc - Iran,,,
,2026,,,Vilamoura - Portugal,Vilamoura - Portugal,,,
,2026,Name,,Trani - Italy,Trani - Italy,,,
,2026,,,Johannesburg - South Africa,Johannesburg - South Africa,,,
,2026,,,Dubai - United Arab Emirates,Dubai - United Arab Emirates,,,
,2026,Andalucía&Ultra Padel Club,Av la banda y puente bicentenario /Calle ejercito equina Alejandro del carpio Post navigationPreviousPrevious EventFIP BEYOND JOHANNESBURGNextNext EventFIP BEYOND LONDON Official Automotive Partner,Tarija - Bolivia,Tarija - Bolivia,,,
,2026,,,Gran Canaria - Spain,Gran Canaria - Spain,,,
,2026,CD Padelmerida,,Merida - Spain,Merida - Spain,,,
,2026,,,Prishtina - Kosovo,Prishtina - Kosovo,,,
,2026,,,Vila real de santo antonio - Portugal,Vila real de santo antonio - Portugal,,,
,2026,:Number of Match Courts: 3Number of,,Teramo - Italy,Teramo - Italy,,,
,2026,,,Kolding - Denmark,Kolding - Denmark,,,
,2026,,,Mendoza - Argentina,Mendoza - Argentina,,,
,2026,,,London - Great Britain,London - Great Britain,,,
,2026,,,AsunciÓn - Paraguay,AsunciÓn - Paraguay,,,
,2026,,,Samui - Thailand,Samui - Thailand,,,
,2026,,,Kolding - Denmark,Kolding - Denmark,,,
,2026,,,Johannesburg - South Africa,Johannesburg - South Africa,,,
,2026,,,Novara - Italy,Novara - Italy,,,
,2026,,,Gent - Belgium,Gent - Belgium,,,
,2026,,,Bratislava - Slovakia,Bratislava - Slovakia,,,
,2026,,,Albufeira - Portugal,Albufeira - Portugal,,,
,2026,,,Pangan - Thailand,Pangan - Thailand,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,,,Buenos aires - Argentina,Buenos aires - Argentina,,,
,2026,,,Bydgoszcz - Poland,Bydgoszcz - Poland,,,
,2026,,,Dakar - Senegal,Dakar - Senegal,,,
,2026,,,Antofagasta - Chile,Antofagasta - Chile,,,
,2026,SSD Globo Padel,"Contrada Oliveto Principessa,1 89022 Cittanova (RC)",Cittanova,Cittanova - Italy,,,
,2026,,,London - Great Britain,London - Great Britain,,,
,2026,,,Viseu - Portugal,Viseu - Portugal,,,
,2026,,,Tbd - Brazil,Tbd - Brazil,,,
,2026,,,London - Great Britain,London - Great Britain,,,
,2026,,,Latina - Italy,Latina - Italy,,,
,2026,,,Marnes - France,Marnes - France,,,
,2026,,,Cap Cana - Dominican Republic,Cap Cana - Dominican Republic,,,
,2026,,,Oeiras - Portugal,Oeiras - Portugal,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,,,Athens - Greece,Athens - Greece,,,
,2026,,,Mälmo - Sweden,Mälmo - Sweden,,,
,2026,,,Albania,Albania,,,
,2026,,,Viña del Mar - Chile,Viña del Mar - Chile,,,
,2026,,,Abu dhabi - United Arab Emirates,Abu dhabi - United Arab Emirates,,,
,2026,: Padel CenterCourt conditions: TBCTransportation ServicesNearest Airport Name:International Airport “ Traian Vuia” Timisoara (13 km to the club)Nearest Train Station Name: Timisoara Nord railway station (7 km to the club)Distance to the venue: 13 km from the airport / 7 km from the train stationAirport pick up: NODaily ho – club service: NO,"Distance to VenueHotel Timisoara4★Romania,Timisoara,Str.Marasesti5.8 km to venueSpecial rates: pret displayed on the websiteAdditional info: 45% discount from the price displayed at the receptionContact Details:office@hoteltimisoara.roPlayer ServicesTournament contactsRoleNamePhoneEmailTournament DirectorLuis Centeno Faragoso+351968688077 luis.c.fragoso@outlook.ptTournament Asistant RefereeRozorea NicuTournament Main refereeNamePhoneEmailAlfonso Cibelli3394013500alfo.cibelli@gmail.comPlayer deskNamePhoneEmailBristan Bogdan Post navigationPreviousPrevious EventFIP BRONZE CAMBODIANextNext EventFIP BRONZE ABU DHABI Official Automotive Partner",Timisoara - Romania,Timisoara - Romania,,,
,2026,,,Höganäs - Sweden,Höganäs - Sweden,,,
,2026,,,Agrigento - Italy,Agrigento - Italy,,,
,2026,,,Rijswijk - Netherlands,Rijswijk - Netherlands,,,
,2026,,,Comunidad valenciana - Spain,Comunidad valenciana - Spain,,,
,2026,,,Tbd - Cambodia,Tbd - Cambodia,,,
,2026,,,Pembroke - Malta,Pembroke - Malta,,,
FIP PROMISES GROSSETO,2026,,,Grosseto - Italy,Grosseto - Italy,,,
,2026,,,Grossetto - Italy,Grossetto - Italy,,,
,2026,,,Samobor - Croatia,Samobor - Croatia,,,
,2026,,,Kuala lumpur - Malaysia,Kuala lumpur - Malaysia,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,,,Warsaw - Poland,Warsaw - Poland,,,
,2026,,,Hamburg - Germany,Hamburg - Germany,,,
,2026,,,Oporto - Portugal,Oporto - Portugal,,,
,2026,,,Bandol - France,Bandol - France,,,
,2026,,,Lusaka - Zambia,Lusaka - Zambia,,,
,2026,,,Sevilla - Spain,Sevilla - Spain,,,
,2026,,,Cardiff - United Kingdom,Cardiff - United Kingdom,,,
,2026,,,Tbd - Brazil,Tbd - Brazil,,,
,2026,,,Rome - Italy,Rome - Italy,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,,,Rome - Italy,Rome - Italy,,,
,2026,,,Chisinau - Maldives,Chisinau - Maldives,,,
,2026,,,Crossroads - Maldives,Crossroads - Maldives,,,
,2026,,,Rochefort - Belgium,Rochefort - Belgium,,,
,2026,,,Lanzarote - Spain,Lanzarote - Spain,,,
,2026,,,Palermo - Italy,Palermo - Italy,,,
,2026,,,Rovato - Italy,Rovato - Italy,,,
,2026,,,Puerto varas - Chile,Puerto varas - Chile,,,
,2026,"Website: https://www.aleja.si/si/Support Club / Venue: ALEJA SKYNumber of Match Courts: 3Court conditions: OutdoorOutside game: NoPRIZE MONEYPayment method: Bank Transfer Contact e-mail / Number: mitja.gregoric21@gmail.com, 41 Transportation ServicesNearest Airport Name: Airport LjubljanaDistance to the venue: 23kmNearest Train Station Name: Train station LjubljanaDistance to the venue: 6kmAirport pick up: NODaily Ho – Club service: NO","Rakuševa ulica 1, 1000 Ljubljana Post navigationPreviousPrevious EventFIP BRONZE ROCHEFORTNextNext EventFIP BRONZE LANZAROTE Official Automotive Partner",Ljubljana Post navigationPreviousPrevious EventFIP BRONZE ROCHEFORTNextNext EventFIP BRONZE LANZAROTE Official Automotive Partner,Ljublana - Slovenia,,,
,2026,,,Valencia - Spain,Valencia - Spain,,,
,2026,,,Ciudad de Badajoz - Spain,Ciudad de Badajoz - Spain,,,
,2026,,,Sevilla - Spain,Sevilla - Spain,,,
,2026,Hotel Name,"Distance to VenueHOTEL SANTIN3★Viale delle Grazie, 9, 33170 Pordenone PN6.7 kmAdditional info: https://www.hotelsantin.it/ /Player ServicesTournament contactsRoleNamePhoneEmailTournament DirectorLUCAS CAMPIUTTI+39 327 488 3149Player deskNamePhoneEmailSERENA RAFFIN+39 327 488 3149serena@euro-sporting.it Post navigationPreviousPrevious EventFIP BRONZE OSAKANextNext EventFIP BRONZE KÉNITRE Official Automotive Partner",Cordenons - Italy,Cordenons - Italy,,,
,2026,,,Ankara - Türkiye,Ankara - Türkiye,,,
,2026,,,Roma - Italy,Roma - Italy,,,
,2026,,,KÉnitre - Morocco,KÉnitre - Morocco,,,
,2026,,,Osaka - Japan,Osaka - Japan,,,
,2026,,,Narbona - France,Narbona - France,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,,,Houten - Netherlands,Houten - Netherlands,,,
,2026,,,Ancona - Italy,Ancona - Italy,,,
,2026,,,Giulianova - Italy,Giulianova - Italy,,,
,2026,,,Astorga - Spain,Astorga - Spain,,,
,2026,,,Sao Joao Da Madeira - Portugal,Sao Joao Da Madeira - Portugal,,,
,2026,,,Tbd - Chile,Tbd - Chile,,,
,2026,Hotel Name,"72V8+CFH, Rue G14, Abidjan",Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,Indoor
,2026,,,Valladolid - Spain,Valladolid - Spain,,,
,2026,Hotel Name,"11050 Louetta Rd. Houston, TX 77070",Texas - USA,Texas - USA,,,
,2026,,,Bordeaux - France,Bordeaux - France,,,
,2026,,,Comunidad valenciana - Spain,Comunidad valenciana - Spain,,,
,2026,,,Tbd - Ireland,Tbd - Ireland,,,
,2026,LAS NORIAS,"Av de Gijón, 100, 47009 Valladolid",Valladolid,Valladolid - Spain,,,
,2026,,,Kosijde - Belgium,Kosijde - Belgium,,,
,2026,ZERO4 PADEL CLUB,Fondovalle Alento 70/A Post navigationPreviousPrevious EventFIP GOLD ABIDJANNextNext EventFIP BRONZE COMUNIDAD VALENCIANA III Official Automotive Partner,Chieti - Italy,Chieti - Italy,,,
,2026,,,Abidjan - Ivory Coast,Abidjan - Ivory Coast,,,
,2026,,,Iquique - Chile,Iquique - Chile,,,
,2026,,,Koskijde - Belgium,Koskijde - Belgium,,,
,2026,,,La coruÑa - Spain,La coruÑa - Spain,,,
,2026,,,Tbc - Georgia,Tbc - Georgia,,,
,2026,,,Tbc - Hungary,Tbc - Hungary,,,
,2026,,,Alicante - Spain,Alicante - Spain,,,
,2026,,,Malaga - Spain,Malaga - Spain,,,
,2026,,,Malaga - Spain,Malaga - Spain,,,
,2026,,,Bunschoten - Netherlands,Bunschoten - Netherlands,,,
,2026,,,Sandigliano - Italy,Sandigliano - Italy,,,
,2026,Lésigny Tennis Padel Club,"Complexe de l’Entre-Deux-Parcs, Avenue des Hyverneaux 77150 Lésigny",Paris - France,Paris - France,,2.0,Outdoor
,2026,Pádel Plaza Indoor,Avenida Diagonal Plaza 3,Zaragoza - Spain,Zaragoza - Spain,,2.0,Indoor
,2026,,,Rome - Italy,Rome - Italy,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,PADDELITE,"Av. la Industria, 10, 09001 Burgos",Burgos,Burgos - Spain,,,
,2026,,,Tbc - Brazil,Tbc - Brazil,,,
,2026,,,Lisboa - Portugal,Lisboa - Portugal,,,
,2026,,,Copiapo - Chile,Copiapo - Chile,,,
,2026,,,Oporto - Portugal,Oporto - Portugal,,,
,2026,,,Comunidad valenciana - Spain,Comunidad valenciana - Spain,,,
,2026,HUB 4.0,"VIA PORDOI, 25038 ROVATO (BS) Post navigationPreviousPrevious EventFIP BRONZE COMUNIDAD VALENCIANA VNextNext EventFIP BRONZE LELYSTAD Official Automotive Partner",ROVATO,Brescia - Italy,,,
,2026,,,Lelystad - Netherlands,Lelystad - Netherlands,,,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Bruino - Italy,Bruino - Italy,,,
,2026,,,Pretoria - South Africa,Pretoria - South Africa,,,
,2026,,,Tenerife - Spain,Tenerife - Spain,,,
,2026,,,Carcavelos - Portugal,Carcavelos - Portugal,,,
,2026,Website: www.islandpadel.comNumber of Match Courts: 4Number of,"Plat Douet Road, St Clement, Jersey JE2 6PN, Great Britain Post navigationPreviousPrevious EventFIP BRONZE FRASCATINextNext EventFIP SILVER MONTERREY Official Automotive Partner",Jersey Island - Great Britain,Jersey Island - Great Britain,,,
,2026,,,Tbc - Egypt,Tbc - Egypt,,,
,2026,CLUB MERCEDE,"VIA TUSCOLANA, 20",Frascati - Italy,Frascati - Italy,,1.0,Outdoor
,2026,,,Collbató - Spain,Collbató - Spain,,,
,2026,,,Venezuela,Venezuela,,,
,2026,,,London - Great Britain,London - Great Britain,,,
,2026,,,Monterrey - Mexico,Monterrey - Mexico,,,
,2026,,,Monterrey - Mexico,Monterrey - Mexico,,,
,2026,,,El prat - Spain,El prat - Spain,,,
,2026,,,Puerto Cabello - Venezuela,Puerto Cabello - Venezuela,,,
,2026,,,Portimao - Portugal,Portimao - Portugal,,,
,2026,,,Illinois - USA,Illinois - USA,,,
,2026,Padel Barcelona,"Parc del Riu 3-5, El Prat de Llobregat",El Prat - Spain,El Prat - Spain,,14.0,
,2026,,,Tbc - Spain,Tbc - Spain,,,
,2026,,,Mexico,Mexico,,,
,2026,,,Mol - Belgium,Mol - Belgium,,,
,2026,,,Barcelona - Spain,Barcelona - Spain,,,
,2026,,,Mol - Belgium,Mol - Belgium,,,
,2026,,,Puerto Cabello - Venezuela,Puerto Cabello - Venezuela,,,
,2026,,,Palma de mallorca - Spain,Palma de mallorca - Spain,,,
,2026,,,San luis - Mexico,San luis - Mexico,,,
,2026,,,Castro - Chile,Castro - Chile,,,
,2026,,,MIDDELKERKE - Belgium,MIDDELKERKE - Belgium,,,
,2026,,,Taranto - Italy,Taranto - Italy,,,
,2026,,,Westerbork - Netherlands,Westerbork - Netherlands,,,
,2026,,,Porto st. elpidio - Italy,Porto st. elpidio - Italy,,,
,2026,,,Belgrade - Serbia,Belgrade - Serbia,,,
,2026,,,Cologne - Germany,Cologne - Germany,,,
,2026,,,Giulianova - Italy,Giulianova - Italy,,,
,2026,,,Westerbork - Netherlands,Westerbork - Netherlands,,,
,2026,,,Karachi - Pakistan,Karachi - Pakistan,,,
,2026,,,Ericeira - Portugal,Ericeira - Portugal,,,
,2026,,,Phoenix - Arizona US,Phoenix - Arizona US,,,
,2026,,,Cordoba - Spain,Cordoba - Spain,,,
,2026,,,Madrid - Spain,Madrid - Spain,,,
,2026,,,Marnes - France,Marnes - France,,,
,2026,PADELYOU,"C. Víctor García de la Concha, 37007 Salamanca",Salamanca,Salamanca - Spain,,,
,2026,,,MalÉ - Maldives,MalÉ - Maldives,,,
,2026,,,Miami - USA,Miami - USA,,,
,2026,,,Mcallen texas - United States,Mcallen texas - United States,,,
,2026,,,San luis - Mexico,San luis - Mexico,,,
,2026,,,Paris - France,Paris - France,,,
,2026,Zomerstadion Utrecht,"Jaarbeursplein, Utrecht Post navigationPreviousPrevious EventFIP BRONZE SAN LUISNextNext EventFIP SILVER CEUTA Official Automotive Partner",Utrecht - Netherlands,Utrecht - Netherlands,,,
,2026,,,Ceuta - Spain,Ceuta - Spain,,,
,2026,,,Casablanca - Morocco,Casablanca - Morocco,,,
,2026,,,Messina - Italy,Messina - Italy,,,
,2026,,,San luis - Mexico,San luis - Mexico,,,
